datetime,open,high,low,close,tick_volume
2024-01-22 12:58:00+02:00,1.08871,1.08871,1.08857,1.08866,45
2024-01-22 12:59:00+02:00,1.08865,1.08868,1.0886,1.08867,46
2024-01-22 13:00:00+02:00,1.08867,1.08867,1.0886,1.08862,54
2024-01-22 13:01:00+02:00,1.08862,1.08862,1.0884800000000001,1.08857,34
2024-01-22 13:02:00+02:00,1.08856,1.08864,1.08855,1.08857,63
2024-01-22 13:03:00+02:00,1.08857,1.08864,1.08855,1.08859,81
2024-01-22 13:04:00+02:00,1.08858,1.08872,1.08856,1.0887,62
2024-01-22 13:05:00+02:00,1.08871,1.08875,1.08866,1.08872,56
2024-01-22 13:06:00+02:00,1.08867,1.08877,1.08866,1.08875,72
2024-01-22 13:07:00+02:00,1.08874,1.08884,1.0886,1.08878,96
2024-01-22 13:08:00+02:00,1.08878,1.08891,1.08875,1.08889,49
2024-01-22 13:09:00+02:00,1.08889,1.08893,1.08883,1.0889,45
2024-01-22 13:10:00+02:00,1.08886,1.08886,1.08873,1.08875,34
2024-01-22 13:11:00+02:00,1.08872,1.08874,1.0887,1.08874,30
2024-01-22 13:12:00+02:00,1.08873,1.08886,1.08872,1.0888,53
2024-01-22 13:13:00+02:00,1.08876,1.08881,1.08874,1.08875,36
2024-01-22 13:14:00+02:00,1.08877,1.08895,1.08875,1.08893,72
2024-01-22 13:15:00+02:00,1.08894,1.08896,1.08886,1.08888,54
2024-01-22 13:16:00+02:00,1.08889,1.08899,1.08886,1.08899,49
2024-01-22 13:17:00+02:00,1.089,1.08903,1.0889,1.089,74
2024-01-22 13:18:00+02:00,1.08899,1.08901,1.08886,1.08887,60
2024-01-22 13:19:00+02:00,1.08888,1.08888,1.08878,1.0888,55
2024-01-22 13:20:00+02:00,1.0888,1.08885,1.08864,1.08864,53
2024-01-22 13:21:00+02:00,1.08865,1.08865,1.08853,1.0886,46
2024-01-22 13:22:00+02:00,1.08858,1.08861,1.08857,1.08857,28
2024-01-22 13:23:00+02:00,1.08858,1.08861,1.08856,1.08857,33
2024-01-22 13:24:00+02:00,1.08857,1.08858,1.08851,1.08856,39
2024-01-22 13:25:00+02:00,1.08857,1.08857,1.08838,1.08843,42
2024-01-22 13:26:00+02:00,1.08842,1.08843,1.08821,1.08822,58
2024-01-22 13:27:00+02:00,1.08822,1.08829,1.08816,1.08819,83
2024-01-22 13:28:00+02:00,1.0882,1.08847,1.0882,1.08845,76
2024-01-22 13:29:00+02:00,1.08844,1.08846,1.08833,1.08836,49
2024-01-22 13:30:00+02:00,1.08836,1.08856,1.08836,1.08844,44
2024-01-22 13:31:00+02:00,1.08843,1.08844,1.08837,1.08842,19
2024-01-22 13:32:00+02:00,1.0884,1.08842,1.08832,1.08839,42
2024-01-22 13:33:00+02:00,1.08841,1.0886,1.08839,1.08853,56
2024-01-22 13:34:00+02:00,1.08852,1.08862,1.08852,1.08859,36
2024-01-22 13:35:00+02:00,1.08859,1.08863,1.0885,1.08852,42
2024-01-22 13:36:00+02:00,1.08852,1.08861,1.08852,1.08854,24
2024-01-22 13:37:00+02:00,1.08852,1.08861,1.0885,1.0886,47
2024-01-22 13:38:00+02:00,1.08861,1.08881,1.08859,1.0888,52
2024-01-22 13:39:00+02:00,1.08881,1.08894,1.0888,1.0889,78
2024-01-22 13:40:00+02:00,1.08889,1.08895,1.08872,1.08879,60
2024-01-22 13:41:00+02:00,1.0888,1.08885,1.08875,1.0888,42
2024-01-22 13:42:00+02:00,1.08878,1.0888,1.08857,1.08864,64
2024-01-22 13:43:00+02:00,1.08865,1.08871,1.0886,1.0887,62
2024-01-22 13:44:00+02:00,1.08871,1.08883,1.08864,1.08876,61
2024-01-22 13:45:00+02:00,1.08876,1.0888,1.08874,1.08878,33
2024-01-22 13:46:00+02:00,1.08877,1.08893,1.08876,1.08887,31
2024-01-22 13:47:00+02:00,1.08888,1.08902,1.08887,1.08896,49
2024-01-22 13:48:00+02:00,1.08896,1.08899,1.0889,1.08893,47
2024-01-22 13:49:00+02:00,1.08895,1.089,1.08884,1.08889,50
2024-01-22 13:50:00+02:00,1.08889,1.08891,1.08879,1.0888,51
2024-01-22 13:51:00+02:00,1.0888,1.08881,1.08874,1.0888,51
2024-01-22 13:52:00+02:00,1.08881,1.08887,1.08878,1.08883,44
2024-01-22 13:53:00+02:00,1.08881,1.0889,1.0888,1.08889,41
2024-01-22 13:54:00+02:00,1.08888,1.08894,1.08887,1.08889,42
2024-01-22 13:55:00+02:00,1.08888,1.08889,1.08882,1.08883,36
2024-01-22 13:56:00+02:00,1.08884,1.08901,1.08884,1.08893,36
2024-01-22 13:57:00+02:00,1.0889199999999999,1.08893,1.08885,1.0889,43
2024-01-22 13:58:00+02:00,1.0889,1.08896,1.08889,1.08896,17
2024-01-22 13:59:00+02:00,1.08896,1.08902,1.08896,1.089,48
2024-01-22 14:00:00+02:00,1.08901,1.0890900000000001,1.08891,1.08891,74
2024-01-22 14:01:00+02:00,1.08891,1.08897,1.08885,1.08895,68
2024-01-22 14:02:00+02:00,1.08895,1.08897,1.08885,1.08885,37
2024-01-22 14:03:00+02:00,1.08883,1.08889,1.08881,1.08889,38
2024-01-22 14:04:00+02:00,1.0889,1.089,1.08887,1.08899,46
2024-01-22 14:05:00+02:00,1.08899,1.08918,1.08897,1.08913,57
2024-01-22 14:06:00+02:00,1.08912,1.08923,1.08907,1.08923,75
2024-01-22 14:07:00+02:00,1.08924,1.08925,1.08918,1.08924,40
2024-01-22 14:08:00+02:00,1.08924,1.08928,1.08916,1.08924,40
2024-01-22 14:09:00+02:00,1.08924,1.08926,1.0892,1.08921,41
2024-01-22 14:10:00+02:00,1.0892,1.08924,1.08913,1.08923,33
2024-01-22 14:11:00+02:00,1.08923,1.08928,1.08921,1.08927,43
2024-01-22 14:12:00+02:00,1.08926,1.08948,1.08925,1.08947,72
2024-01-22 14:13:00+02:00,1.08947,1.08955,1.08945,1.08952,57
2024-01-22 14:14:00+02:00,1.0895299999999999,1.0895299999999999,1.08944,1.08945,48
2024-01-22 14:15:00+02:00,1.08945,1.08948,1.08935,1.08938,54
2024-01-22 14:16:00+02:00,1.08937,1.08958,1.08937,1.08954,54
2024-01-22 14:17:00+02:00,1.08954,1.08956,1.08943,1.08946,65
2024-01-22 14:18:00+02:00,1.08947,1.08947,1.08932,1.08934,69
2024-01-22 14:19:00+02:00,1.08933,1.08949,1.0893,1.08941,73
2024-01-22 14:20:00+02:00,1.08942,1.08943,1.08935,1.08942,67
2024-01-22 14:21:00+02:00,1.08942,1.08981,1.08941,1.08973,66
2024-01-22 14:22:00+02:00,1.08972,1.08975,1.0896,1.08974,59
2024-01-22 14:23:00+02:00,1.08973,1.08974,1.0895299999999999,1.0895299999999999,39
2024-01-22 14:24:00+02:00,1.08954,1.08957,1.08945,1.08952,70
2024-01-22 14:25:00+02:00,1.08952,1.08974,1.08951,1.08974,57
2024-01-22 14:26:00+02:00,1.08975,1.08978,1.0896,1.08962,56
2024-01-22 14:27:00+02:00,1.08963,1.08983,1.08962,1.08974,71
2024-01-22 14:28:00+02:00,1.08974,1.08975,1.08962,1.08965,53
2024-01-22 14:29:00+02:00,1.08965,1.08971,1.08963,1.08968,50
2024-01-22 14:30:00+02:00,1.08967,1.08989,1.08966,1.08984,79
2024-01-22 14:31:00+02:00,1.08984,1.08996,1.08983,1.08987,66
2024-01-22 14:32:00+02:00,1.08987,1.08988,1.08971,1.08974,75
2024-01-22 14:33:00+02:00,1.08977,1.08978,1.08971,1.08975,57
2024-01-22 14:34:00+02:00,1.08974,1.08975,1.08966,1.08972,75
2024-01-22 14:35:00+02:00,1.08972,1.08978,1.08956,1.08958,87
2024-01-22 14:36:00+02:00,1.08959,1.08964,1.0895299999999999,1.0896,66
2024-01-22 14:37:00+02:00,1.08962,1.08964,1.08946,1.08951,86
