time,open,high,low,close,Volume,complete
2024-08-06 13:00:00+00:00,1.09054,1.09246,1.09054,1.09184,10318,True
2024-08-06 14:00:00+00:00,1.09186,1.09348,1.09152,1.09338,11136,True
2024-08-06 15:00:00+00:00,1.09337,1.09342,1.09222,1.09252,8510,True
2024-08-06 16:00:00+00:00,1.09254,1.09322,1.09208,1.09279,6290,True
2024-08-06 17:00:00+00:00,1.09278,1.09311,1.09226,1.09259,6290,True
2024-08-06 18:00:00+00:00,1.0926,1.09338,1.0925,1.09286,4714,True
2024-08-06 19:00:00+00:00,1.09286,1.09305,1.09227,1.09298,6519,True
2024-08-06 20:00:00+00:00,1.09298,1.09322,1.09276,1.09314,3423,True
2024-08-06 21:00:00+00:00,1.09279,1.09316,1.09261,1.09282,1036,True
2024-08-06 22:00:00+00:00,1.09281,1.0932,1.09276,1.09296,1780,True
2024-08-06 23:00:00+00:00,1.09295,1.09302,1.09238,1.09258,3238,True
2024-08-07 00:00:00+00:00,1.09258,1.09304,1.09232,1.09297,5481,True
2024-08-07 01:00:00+00:00,1.09296,1.09305,1.0911,1.09184,6677,True
2024-08-07 02:00:00+00:00,1.09183,1.09194,1.09122,1.09163,5580,True
2024-08-07 03:00:00+00:00,1.09164,1.09176,1.09118,1.09158,3197,True
2024-08-07 04:00:00+00:00,1.09159,1.09169,1.09116,1.09117,3567,True
2024-08-07 05:00:00+00:00,1.09115,1.0913,1.09068,1.09104,4139,True
2024-08-07 06:00:00+00:00,1.09102,1.09154,1.09054,1.09152,6384,True
2024-08-07 07:00:00+00:00,1.09152,1.0928,1.09128,1.09224,7755,True
2024-08-07 08:00:00+00:00,1.09224,1.0928,1.09184,1.09188,6337,True
2024-08-07 09:00:00+00:00,1.09187,1.09197,1.09085,1.09136,6109,True
2024-08-07 10:00:00+00:00,1.09138,1.09234,1.09096,1.0918,5032,True
2024-08-07 11:00:00+00:00,1.0918,1.09266,1.09178,1.09233,5182,True
2024-08-07 12:00:00+00:00,1.09234,1.09258,1.09134,1.0922,6475,True
2024-08-07 13:00:00+00:00,1.09219,1.09266,1.09126,1.09188,6488,True
2024-08-07 14:00:00+00:00,1.09188,1.09341,1.09188,1.09319,7103,True
2024-08-07 15:00:00+00:00,1.09319,1.09366,1.0924,1.09246,5493,True
2024-08-07 16:00:00+00:00,1.09246,1.0927,1.0921,1.09222,5013,True
2024-08-07 17:00:00+00:00,1.09221,1.09272,1.09176,1.09222,6826,True
2024-08-07 18:00:00+00:00,1.0922,1.0924,1.09175,1.09222,5579,True
2024-08-07 19:00:00+00:00,1.09222,1.09268,1.09213,1.09233,5928,True
2024-08-07 20:00:00+00:00,1.09232,1.0924,1.09202,1.09236,2960,True
2024-08-07 21:00:00+00:00,1.09213,1.09244,1.09206,1.09238,507,True
2024-08-07 22:00:00+00:00,1.09244,1.09272,1.09226,1.09269,1120,True
2024-08-07 23:00:00+00:00,1.0927,1.0934,1.09266,1.09274,2203,True
2024-08-08 00:00:00+00:00,1.09278,1.09326,1.09259,1.09282,4662,True
2024-08-08 01:00:00+00:00,1.09281,1.0931,1.09236,1.09277,4614,True
2024-08-08 02:00:00+00:00,1.09276,1.09352,1.09266,1.09338,4915,True
2024-08-08 03:00:00+00:00,1.09338,1.09356,1.093,1.09351,2892,True
